Volume of Titrant (mL),pH Value
25.628140703517587,1.2829142726349974
25.778894472361806,1.2732682134053577
25.929648241206028,1.2639100946170678
26.08040201005025,1.2548251340479628
26.23115577889447,1.245999639679307
26.38190954773869,1.2374209053633027
26.532663316582912,1.229077118674314
26.683417085427134,1.2209572792754828
26.834170854271356,1.213051126393023
26.984924623115575,1.2053490742055164
27.135678391959797,1.1978421541338817
27.28643216080402,1.1905219631661648
27.437185929648237,1.1833806174754484
27.58793969849246,1.1764107106934047
27.73869346733668,1.169605276289818
27.889447236180903,1.162957753582653
28.040201005025125,1.1564619569662606
28.190954773869343,1.150112047998946
28.341708542713565,1.143902510036938
28.492462311557787,1.1378281251410431
28.643216080402006,1.131883953015995
28.793969849246228,1.1260653117715542
28.94472361809045,1.120367760319529
29.09547738693467,1.114787082242617
29.246231155778894,1.1093192709898765
